Date, Timestamp, Ticker, OptionType, Strike, Expiration, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, TotalTradeCount
20150126, 09:30:09.000, ADT, C, 39.0000, 20150320, 0.25, 0.25, 0.25, 0.25, 2.25, 9, 1
20150126, 09:31:57.000, ADT, P, 33.0000, 20150417, 1.25, 1.25, 1.25, 1.25, 37.50, 30, 2
20150126, 10:01:02.000, ADT, C, 40.0000, 20160115, 1.60, 1.60, 1.60, 1.60, 11.20, 7, 1
20150126, 10:03:58.000, ADT, C, 31.0000, 20150220, 3.60, 3.60, 3.60, 3.60, 3.60, 1, 1
20150126, 10:08:47.000, ADT, C, 35.0000, 20150220, 1.05, 1.05, 1.05, 1.05, 3.15, 3, 1
20150126, 10:29:43.000, ADT, P, 34.0000, 20150220, 1.20, 1.20, 1.20, 1.20, 36.00, 30, 1
20150126, 11:00:09.000, ADT, P, 20.0000, 20170120, 1.40, 1.40, 1.40, 1.40, 23.80, 17, 1
20150126, 11:00:19.000, ADT, P, 20.0000, 20170120, 1.40, 1.40, 1.40, 1.40, 46.20, 33, 1
20150126, 11:00:49.000, ADT, P, 36.0000, 20150417, 2.95, 2.95, 2.95, 2.95, 5.90, 2, 2
20150126, 11:03:54.000, ADT, C, 38.0000, 20160115, 2.40, 2.40, 2.40, 2.40, 40.80, 17, 1
20150126, 11:06:08.000, ADT, C, 38.0000, 20160115, 2.30, 2.30, 2.30, 2.30, 69.00, 30, 1
20150126, 11:06:43.000, ADT, P, 20.0000, 20170120, 1.35, 1.35, 1.35, 1.35, 135.00, 100, 1
20150126, 11:12:57.000, ADT, C, 38.0000, 20160115, 2.40, 2.40, 2.40, 2.40, 31.20, 13, 1
20150126, 11:15:02.000, ADT, C, 36.0000, 20150320, 0.95, 0.95, 0.95, 0.95, 2.85, 3, 1
20150126, 12:05:06.000, ADT, C, 35.0000, 20150220, 1.00, 1.00, 1.00, 1.00, 10.00, 10, 1
20150126, 12:25:01.000, ADT, C, 34.0000, 20150220, 1.45, 1.45, 1.45, 1.45, 15.95, 11, 2
20150126, 12:25:02.000, ADT, C, 33.0000, 20150717, 3.30, 3.30, 3.30, 3.30, 62.70, 19, 3
