Date, Timestamp, Ticker, OptionType, Strike, Expiration, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, TotalTradeCount
20150129, 09:30:10.000, IBM, C, 145.0000, 20170120, 19.30, 19.30, 19.30, 19.30, 96.50, 5, 1
20150129, 09:30:10.000, IBM, P, 165.0000, 20150417, 15.20, 15.20, 15.20, 15.20, 15.20, 1, 1
20150129, 09:30:10.000, IBM, P, 145.0000, 20150417, 3.10, 3.10, 3.10, 3.10, 3.10, 1, 1
20150129, 09:30:10.000, IBM, P, 150.0000, 20150227, 2.98, 2.98, 2.98, 2.98, 5.96, 2, 1
20150129, 09:30:10.000, IBM, P, 125.0000, 20160115, 4.65, 4.65, 4.65, 4.65, 4.65, 1, 1
20150129, 09:30:10.000, IBM, P, 125.0000, 20170120, 11.10, 11.10, 11.10, 11.10, 11.10, 1, 1
20150129, 09:30:10.000, IBM, P, 150.0000, 20150130, 0.48, 0.48, 0.48, 0.48, 2.40, 5, 1
20150129, 09:30:10.000, IBM, C, 180.0000, 20150220, 0.13, 0.13, 0.13, 0.13, 0.13, 1, 1
20150129, 09:30:10.000, IBM, C, 175.0000, 20150717, 0.86, 0.86, 0.86, 0.86, 2.58, 3, 1
20150129, 09:30:11.000, IBM, P, 160.0000, 20150417, 11.05, 11.05, 11.05, 11.05, 33.15, 3, 1
20150129, 09:30:11.000, IBM, P, 150.0000, 20150417, 5.00, 5.00, 5.00, 5.00, 20.00, 4, 1
20150129, 09:30:12.000, IBM, C, 155.0000, 20170120, 14.95, 14.95, 14.95, 14.95, 14.95, 1, 1
20150129, 09:30:12.000, IBM, C, 165.0000, 20160115, 5.85, 5.85, 5.85, 5.85, 11.70, 2, 1
20150129, 09:30:12.000, IBM, P, 170.0000, 20150417, 19.85, 19.85, 19.85, 19.85, 198.50, 10, 1
20150129, 09:30:12.000, IBM, C, 160.0000, 20150320, 1.00, 1.00, 1.00, 1.00, 12.00, 12, 1
20150129, 09:30:12.000, IBM, C, 146.0000, 20150306, 6.50, 6.50, 6.50, 6.50, 6.50, 1, 1
20150129, 09:30:12.000, IBM, P, 140.0000, 20150717, 4.37, 4.37, 4.37, 4.37, 26.22, 6, 1
20150129, 09:30:13.000, IBM, C, 100.0000, 20170120, 51.75, 51.75, 51.75, 51.75, 103.50, 2, 1
20150129, 09:30:13.000, IBM, P, 150.0000, 20150220, 2.63, 2.63, 2.63, 2.63, 26.30, 10, 1
20150129, 09:30:13.000, IBM, P, 149.0000, 20150220, 2.23, 2.23, 2.23, 2.23, 22.30, 10, 1
20150129, 09:30:17.000, IBM, P, 157.5000, 20150220, 7.25, 7.25, 7.25, 7.25, 7.25, 1, 1
20150129, 09:30:20.000, IBM, P, 145.0000, 20150417, 3.11, 3.11, 3.11, 3.11, 12.44, 4, 1
20150129, 09:30:20.000, IBM, P, 150.0000, 20150130, 0.53, 0.53, 0.53, 0.53, 2.12, 4, 1
20150129, 09:30:25.000, IBM, C, 165.0000, 20150717, 2.50, 2.50, 2.50, 2.50, 150.00, 60, 1
20150129, 09:30:39.000, IBM, P, 145.0000, 20150220, 1.07, 1.07, 1.07, 1.07, 5.35, 5, 1
