Date,FB US Equity,IBM US Equity,AAPL US Equity
12/5/2013,48.34,176.08,81.1287
12/6/2013,47.94,177.67,80.0029
12/9/2013,48.84,177.46,80.9186
12/10/2013,50.245,177.12,80.7929
12/11/2013,49.38,175.2,80.1943
12/12/2013,51.83,173.37,80.0771
12/13/2013,53.32,172.8,79.2043
12/16/2013,53.81,177.85,79.6429
12/17/2013,54.86,175.76,79.2843
12/18/2013,55.57,178.7,78.6814
12/19/2013,55.05,180.22,77.78
12/20/2013,55.12,180.02,78.4314
12/23/2013,57.77,182.23,81.4414
12/24/2013,57.96,183.22,81.0957
12/26/2013,57.73,185.35,80.5571
12/27/2013,55.44,185.08,80.0129
12/30/2013,53.71,186.41,79.2171
12/31/2013,54.649,187.57,80.1457
1/2/2014,54.71,185.53,79.0186
1/3/2014,54.557,186.64,77.2829
1/6/2014,57.2,186,77.7043
1/7/2014,57.92,189.71,77.1482
1/8/2014,58.23,187.97,77.6371
1/9/2014,57.22,187.38,76.6456
1/10/2014,57.94,187.26,76.1343
1/13/2014,55.91,184.16,76.5329
1/14/2014,57.74,185.92,78.0557
1/15/2014,57.6,187.74,79.6229
1/16/2014,57.19,188.76,79.1786
1/17/2014,56.3,190.09,77.2386
1/21/2014,58.51,188.43,78.4386
1/22/2014,57.51,182.25,78.7871
1/23/2014,56.63,182.73,79.4543
1/24/2014,54.45,179.64,78.01
1/27/2014,53.55,177.9,78.6429
1/28/2014,55.14,176.85,72.3571
1/29/2014,53.53,176.4,71.5357
1/30/2014,61.08,177.36,71.3974
1/31/2014,62.57,176.68,71.5143
2/3/2014,61.48,172.9,71.6471
2/4/2014,62.75,172.84,72.6843
2/5/2014,62.19,174.24,73.2271
2/6/2014,62.16,174.67,73.2157
2/7/2014,64.32,177.25,74.24
2/10/2014,63.548,177.14,75.57
2/11/2014,64.851,179.7,76.5657
2/12/2014,64.45,180.24,76.56
2/13/2014,67.33,181.84,77.7757
2/14/2014,67.09,183.69,77.7129
2/18/2014,67.3,183.19,77.9986
2/19/2014,68.06,182.95,76.7671
2/20/2014,69.63,184.26,75.8786
2/21/2014,68.59,182.79,75.0357
2/24/2014,70.78,183.45,75.3643
2/25/2014,69.85,183.23,74.58
2/26/2014,69.26,184.06,73.9071
2/27/2014,68.94,185.27,75.3814
2/28/2014,68.46,185.17,75.1771
3/3/2014,67.41,184.26,75.3943
3/4/2014,68.8,186.44,75.8914
3/5/2014,71.57,187.14,76.0514
3/6/2014,70.84,187.64,75.8214
3/7/2014,69.8,187.68,75.7771
3/10/2014,72.03,186.39,75.8457
3/11/2014,70.1,186.76,76.5843
3/12/2014,70.88,186.22,76.6586
3/13/2014,68.83,183.9,75.8071
3/14/2014,67.72,182.21,74.9557
3/17/2014,68.74,185.81,75.2486
3/18/2014,69.19,186.81,75.9143
3/19/2014,68.24,184.71,75.8943
3/20/2014,66.97,187.9,75.5286
3/21/2014,67.24,186.67,76.1243
3/24/2014,64.1,188.25,77.0271
3/25/2014,64.89,195.04,77.8557
3/26/2014,60.385,192.62,77.1114
3/27/2014,60.97,189.83,76.78
3/28/2014,60.01,190.45,76.6943
3/31/2014,60.24,192.49,76.6771
4/1/2014,62.62,194.5,77.3786
4/2/2014,62.72,193.55,77.5071
4/3/2014,59.49,192.69,76.97
4/4/2014,56.749,191.77,75.9743
4/7/2014,56.95,194.52,74.7814
4/8/2014,58.19,193.29,74.7771
4/9/2014,62.41,196.64,75.76
4/10/2014,59.16,195.68,74.7829
4/11/2014,58.53,195.19,74.23
4/14/2014,58.89,197.77,74.5257
4/15/2014,59.09,197.02,73.9943
4/16/2014,59.72,196.4,74.1443
4/17/2014,58.94,190.01,74.9914
4/21/2014,61.24,192.27,75.8814
4/22/2014,63.03,192.15,75.957
4/23/2014,61.36,191.73,74.9643
4/24/2014,60.87,190.22,81.11
4/25/2014,57.71,189.63,81.7057
4/28/2014,56.14,193.14,84.87
4/29/2014,58.15,195.11,84.6186
4/30/2014,59.78,196.47,84.2986
5/1/2014,61.15,193.53,84.4971
5/2/2014,60.46,191.44,84.6543
5/5/2014,61.22,191.26,85.8514
5/6/2014,58.53,190.03,84.9157
5/7/2014,57.39,189.3,84.6186
5/8/2014,56.76,188.91,83.9986
5/9/2014,57.24,190.08,83.6489
5/12/2014,59.83,192.57,84.69
5/13/2014,59.83,192.19,84.8229
5/14/2014,59.23,188.72,84.8386
5/15/2014,57.919,186.46,84.1171
5/16/2014,58.02,187.06,85.3586
5/19/2014,59.21,187,86.37
5/20/2014,58.56,184.89,86.3871
5/21/2014,60.49,186.39,86.6157
5/22/2014,60.52,185.68,86.7529
5/23/2014,61.351,185.94,87.7329
5/27/2014,63.48,184.78,89.3757
5/28/2014,63.51,183.08,89.1443
5/29/2014,63.83,183.76,90.7686
5/30/2014,63.3,184.36,90.4286
6/2/2014,63.08,185.69,89.8071
6/3/2014,62.87,184.37,91.0771
6/4/2014,63.34,184.51,92.1171
6/5/2014,63.186,185.98,92.4786
6/6/2014,62.5,186.37,92.2243
6/9/2014,62.88,186.22,93.7
6/10/2014,65.77,184.29,94.25
6/11/2014,65.781,182.25,93.86
6/12/2014,64.29,181.22,92.29
6/13/2014,64.5,182.56,91.28
6/16/2014,64.19,182.35,92.2
6/17/2014,64.4,182.26,92.08
6/18/2014,65.6,183.6,92.18
6/19/2014,64.342,182.82,91.86
6/20/2014,64.5,181.55,90.91
6/23/2014,65.37,182.14,90.83
6/24/2014,65.72,180.88,90.28
6/25/2014,67.44,180.72,90.36
6/26/2014,67.13,180.37,90.9
6/27/2014,67.6,181.71,91.98
6/30/2014,67.29,181.27,92.93
7/1/2014,68.06,186.35,93.52
7/2/2014,66.45,188.39,93.48
7/3/2014,66.29,188.53,94.03
7/7/2014,65.29,188.04,95.968
7/8/2014,62.76,187.22,95.35
7/9/2014,64.97,188.42,95.39
7/10/2014,64.873,187.7,95.035
7/11/2014,66.34,188,95.22
7/14/2014,67.9,189.86,96.45
7/15/2014,67.165,188.49,95.32
7/16/2014,67.66,192.36,94.78
7/17/2014,66.41,192.49,93.0899
7/18/2014,68.42,192.5,94.43
7/21/2014,69.4,190.85,93.939
7/22/2014,69.27,194.09,94.72
7/23/2014,71.29,193.63,97.19
7/24/2014,74.98,195.24,97.03
7/25/2014,75.19,194.4,97.671
7/28/2014,74.92,195.78,99.02
7/29/2014,73.71,194.57,98.38
7/30/2014,74.677,194,98.15
7/31/2014,72.65,191.67,95.6
8/1/2014,72.36,189.15,96.13
8/4/2014,73.51,189.64,95.59
8/5/2014,72.69,187.1,95.12
8/6/2014,72.47,185.97,94.96
8/7/2014,73.17,184.3,94.48
8/8/2014,73.06,186.63,94.74
8/11/2014,73.44,187.47,95.99
8/12/2014,72.83,187.34,95.97
8/13/2014,73.77,187.95,97.24
8/14/2014,74.296,187.88,97.5
8/15/2014,73.63,187.38,97.98
8/18/2014,74.59,189.36,99.16
8/19/2014,75.29,190.07,100.53
8/20/2014,74.81,190.1,100.57
8/21/2014,74.57,191.23,100.58
8/22/2014,74.57,190.41,101.32
8/25/2014,75.02,191.16,101.54
8/26/2014,75.96,192.99,100.889
8/27/2014,74.63,192.25,102.13
8/28/2014,73.855,192,102.25
8/29/2014,74.82,192.3,102.5
9/2/2014,76.68,191.56,103.3
9/3/2014,75.83,191.95,98.94
9/4/2014,75.95,190.68,98.12
9/5/2014,77.26,191.2,98.97
9/8/2014,77.89,190.14,98.36
9/9/2014,76.67,189.99,97.99
9/10/2014,77.43,191.54,101
9/11/2014,77.92,191.72,101.43
9/12/2014,77.48,191.28,101.66
9/15/2014,74.58,191.81,101.63
9/16/2014,76.08,192.96,100.86
9/17/2014,76.43,192.8,101.58
9/18/2014,77,193.75,101.79
9/19/2014,77.91,194,100.96
9/22/2014,76.8,193.11,101.06
9/23/2014,78.29,191.62,102.64
9/24/2014,78.535,192.31,101.75
9/25/2014,77.22,189.01,97.87
9/26/2014,78.79,190.06,100.75
9/29/2014,79,189.64,100.11
9/30/2014,79.04,189.83,100.75
10/1/2014,76.55,187.17,99.18
10/2/2014,77.08,186.91,99.9
10/3/2014,77.44,188.67,99.62
10/6/2014,77.555,189.04,99.62
10/7/2014,76.29,185.71,98.75
10/8/2014,77.52,189.36,100.8
10/9/2014,75.91,186.42,101.02
10/10/2014,72.91,185.93,100.73
10/13/2014,72.99,183.52,99.81
10/14/2014,73.59,183.8,98.75
10/15/2014,73.21,181.75,97.54
10/16/2014,72.63,179.84,96.26
10/17/2014,75.95,182.05,97.67
10/20/2014,76.95,169.1,99.76
10/21/2014,78.69,163.23,102.47
10/22/2014,78.37,161.79,102.99
10/23/2014,80.04,162.18,104.83
10/24/2014,80.67,162.08,105.22
10/27/2014,80.28,161.87,105.11
10/28/2014,80.77,163.6,106.74
10/29/2014,75.86,163.46,107.34
10/30/2014,74.11,164.35,106.98
10/31/2014,74.99,164.4,108
11/3/2014,73.88,164.36,109.4
11/4/2014,75.76,162.65,108.6
11/5/2014,74.83,161.82,108.86
11/6/2014,75.26,161.46,108.7
11/7/2014,75.6,162.07,109.01
11/10/2014,75,163.49,108.83
11/11/2014,74.61,163.3,109.7
11/12/2014,74.72,161.92,111.25
11/13/2014,74.25,162.79,112.82
11/14/2014,74.88,164.16,114.18
11/17/2014,74.24,164.16,113.99
11/18/2014,74.34,161.89,115.47
11/19/2014,73.33,161.43,114.67
11/20/2014,73.6,160.64,116.31
11/21/2014,73.75,160.92,116.47
11/24/2014,74.01,162.15,118.625
11/25/2014,75.63,161.76,117.6
11/26/2014,77.62,161.95,119
11/28/2014,77.7,162.17,118.93
12/1/2014,75.1,161.54,115.07
12/2/2014,75.46,162.67,114.63
12/3/2014,74.88,164.52,115.93
12/4/2014,75.24,164.05,115.49
12/5/2014,76.36,163.27,115
12/8/2014,76.52,161.86,112.4
12/9/2014,76.84,162.99,114.12
12/10/2014,76.18,160.51,111.95
12/11/2014,77.73,161.07,111.62
12/12/2014,77.83,155.38,109.73
12/15/2014,76.99,153.06,108.225
12/16/2014,74.69,151.41,106.745
12/17/2014,76.11,151.93,109.41
12/18/2014,78.4,157.68,112.65
12/19/2014,79.88,158.51,111.78
12/22/2014,81.45,161.44,112.94
12/23/2014,80.61,162.24,112.54
12/24/2014,80.77,161.82,112.01
12/26/2014,80.775,162.34,113.99
12/29/2014,80.02,160.51,113.91
12/30/2014,79.22,160.05,112.52
12/31/2014,78.02,160.44,110.38
1/2/2015,78.45,162.06,109.33
1/5/2015,77.19,159.51,106.25
1/6/2015,76.15,156.07,106.26
1/7/2015,76.15,155.05,107.75
1/8/2015,78.175,158.42,111.89
1/9/2015,77.74,159.11,112.01
1/12/2015,76.72,156.44,109.25
1/13/2015,76.45,156.81,110.22
1/14/2015,76.28,155.8,109.8
1/15/2015,74.05,154.57,106.82
1/16/2015,75.18,157.14,105.99
1/20/2015,76.24,156.95,108.72
1/21/2015,76.74,152.09,109.55
1/22/2015,77.65,155.39,112.4
1/23/2015,77.83,155.87,112.98
1/26/2015,77.495,156.36,113.1
1/27/2015,75.78,153.67,109.14
1/28/2015,76.24,151.55,115.31
1/29/2015,78,155.48,118.9
1/30/2015,75.91,153.31,117.16
2/2/2015,74.99,154.66,118.63
2/3/2015,75.4,158.47,118.65
2/4/2015,75.63,156.96,119.56
2/5/2015,75.615,157.91,119.94
2/6/2015,74.47,156.72,118.93
2/9/2015,74.44,155.75,119.72
2/10/2015,75.19,158.56,122.02
2/11/2015,76.51,158.2,124.88
2/12/2015,76.23,158.52,126.46
2/13/2015,75.74,160.4,127.08
2/17/2015,75.6,160.96,127.83
2/18/2015,76.71,162.19,128.715
2/19/2015,79.42,163.89,128.45
2/20/2015,79.895,163.65,129.495
2/23/2015,78.84,162.91,133
2/24/2015,78.45,164.83,132.17
2/25/2015,79.56,162.81,128.79
2/26/2015,80.41,160.87,130.415
2/27/2015,78.97,161.94,128.46
3/2/2015,79.75,160.48,129.09
3/3/2015,79.6,161.03,129.36
3/4/2015,80.895,159.42,128.54
3/5/2015,81.21,161.18,126.41
3/6/2015,80.005,158.5,126.6
3/9/2015,79.44,160.77,127.14
3/10/2015,77.55,157.81,124.51
3/11/2015,77.57,156.8,122.24
3/12/2015,78.93,157.98,124.45
3/13/2015,78.05,154.28,123.59
3/16/2015,78.07,157.08,124.95
3/17/2015,79.365,156.96,127.04
3/18/2015,80.91,159.81,128.47
3/19/2015,82.75,159.81,127.495
