Date, Timestamp, Ticker, OptionType, Strike, Expiration, OpenPrice, HighPrice, LowPrice, ClosePrice, TotalVolume, TotalQuantity, TotalTradeCount
20150130, 09:32:18.000, IBM, P, 145.0000, 20150220, 0.64, 0.64, 0.64, 0.64, 0.64, 1, 1
20150130, 09:32:18.000, IBM, C, 165.0000, 20150220, 0.11, 0.11, 0.11, 0.11, 0.11, 1, 1
20150130, 09:32:18.000, IBM, P, 152.5000, 20150220, 2.89, 2.89, 2.89, 2.89, 14.45, 5, 1
20150130, 09:32:19.000, IBM, P, 148.0000, 20150206, 0.41, 0.41, 0.41, 0.41, 1.64, 4, 1
20150130, 09:32:19.000, IBM, P, 130.0000, 20150717, 2.00, 2.00, 2.00, 2.00, 6.00, 3, 1
20150130, 09:32:19.000, IBM, P, 155.0000, 20150130, 1.50, 1.51, 1.50, 1.51, 16.60, 11, 2
20150130, 09:32:19.000, IBM, P, 147.0000, 20150206, 0.37, 0.38, 0.37, 0.38, 2.24, 6, 2
20150130, 09:32:19.000, IBM, C, 150.0000, 20150320, 6.10, 6.10, 5.80, 5.80, 11.90, 2, 2
20150130, 09:32:19.000, IBM, C, 200.0000, 20160115, 1.43, 1.43, 1.43, 1.43, 5.72, 4, 1
20150130, 09:32:19.000, IBM, C, 155.0000, 20150130, 0.25, 0.25, 0.21, 0.21, 22.50, 106, 4
20150130, 09:32:21.000, IBM, C, 145.0000, 20150717, 12.65, 12.65, 12.65, 12.65, 12.65, 1, 1
20150130, 09:32:21.000, IBM, C, 155.0000, 20150220, 1.80, 1.80, 1.80, 1.80, 28.80, 16, 2
20150130, 09:32:21.000, IBM, C, 152.5000, 20150130, 1.57, 1.57, 1.57, 1.57, 25.12, 16, 2
20150130, 09:32:21.000, IBM, C, 160.0000, 20150320, 1.61, 1.61, 1.61, 1.61, 16.10, 10, 2
20150130, 09:32:21.000, IBM, C, 155.0000, 20150206, 1.05, 1.05, 1.05, 1.05, 1.05, 1, 1
20150130, 09:32:21.000, IBM, P, 145.0000, 20150320, 1.83, 1.83, 1.83, 1.83, 1.83, 1, 1
20150130, 09:32:21.000, IBM, P, 155.0000, 20150220, 4.18, 4.18, 4.18, 4.18, 4.18, 1, 1
20150130, 09:32:22.000, IBM, C, 155.0000, 20150717, 6.83, 6.83, 6.83, 6.83, 13.66, 2, 1
20150130, 09:32:25.000, IBM, C, 130.0000, 20150417, 23.90, 23.90, 23.90, 23.90, 23.90, 1, 1
20150130, 09:32:31.000, IBM, P, 150.0000, 20150220, 1.85, 1.85, 1.85, 1.85, 1.85, 1, 1
20150130, 09:32:32.000, IBM, C, 157.5000, 20150206, 0.45, 0.45, 0.45, 0.45, 2.70, 6, 1
20150130, 09:32:38.000, IBM, C, 152.5000, 20150206, 2.33, 2.33, 2.33, 2.33, 2.33, 1, 1
20150130, 09:32:40.000, IBM, C, 155.0000, 20150206, 1.17, 1.17, 1.17, 1.17, 117.00, 100, 1
20150130, 09:32:41.000, IBM, C, 155.0000, 20150220, 1.85, 1.85, 1.85, 1.85, 9.25, 5, 1
20150130, 09:32:50.000, IBM, P, 155.0000, 20150130, 1.40, 1.40, 1.40, 1.40, 5.60, 4, 1
20150130, 09:32:51.000, IBM, P, 152.5000, 20150130, 0.23, 0.23, 0.23, 0.23, 2.30, 10, 1
20150130, 09:33:16.000, IBM, C, 145.0000, 20150417, 10.80, 10.80, 10.80, 10.80, 10.80, 1, 1
20150130, 09:33:16.000, IBM, P, 155.0000, 20150313, 4.85, 4.85, 4.85, 4.85, 48.50, 10, 1
20150130, 09:33:16.000, IBM, P, 155.0000, 20150320, 5.30, 5.30, 5.30, 5.30, 212.00, 40, 6
20150130, 09:33:16.000, IBM, C, 152.5000, 20150206, 2.60, 2.60, 2.60, 2.60, 10.40, 4, 2
20150130, 09:33:16.000, IBM, C, 155.0000, 20150206, 1.24, 1.24, 1.24, 1.24, 1.24, 1, 1
20150130, 09:33:16.000, IBM, P, 152.5000, 20150220, 2.64, 2.64, 2.64, 2.64, 92.40, 35, 10
20150130, 09:33:25.000, IBM, P, 140.0000, 20150417, 1.55, 1.55, 1.55, 1.55, 7.75, 5, 1
20150130, 09:33:31.000, IBM, P, 145.0000, 20150320, 1.70, 1.70, 1.70, 1.70, 8.50, 5, 1
20150130, 09:33:31.000, IBM, C, 155.0000, 20150130, 0.26, 0.26, 0.26, 0.26, 7.28, 28, 1
20150130, 09:33:33.000, IBM, C, 155.0000, 20150130, 0.26, 0.26, 0.26, 0.26, 1.82, 7, 2
20150130, 09:33:38.000, IBM, P, 155.0000, 20150220, 3.85, 3.85, 3.85, 3.85, 77.00, 20, 1
20150130, 09:33:52.000, IBM, C, 155.0000, 20150220, 2.04, 2.04, 2.04, 2.04, 40.80, 20, 2
20150130, 09:33:52.000, IBM, P, 155.0000, 20150130, 1.10, 1.10, 1.10, 1.10, 23.10, 21, 2
20150130, 09:34:03.000, IBM, C, 155.0000, 20150220, 2.10, 2.10, 2.10, 2.10, 31.50, 15, 1
20150130, 09:34:07.000, IBM, P, 152.5000, 20150220, 2.50, 2.50, 2.50, 2.50, 5.00, 2, 1
20150130, 09:34:09.000, IBM, P, 155.0000, 20150130, 1.10, 1.10, 1.10, 1.10, 86.90, 79, 1
20150130, 09:34:13.000, IBM, P, 155.0000, 20150130, 1.10, 1.10, 1.10, 1.10, 12.10, 11, 3
20150130, 09:34:24.000, IBM, C, 155.0000, 20150220, 2.02, 2.02, 2.02, 2.02, 6.06, 3, 1
20150130, 09:34:32.000, IBM, P, 155.0000, 20150320, 5.20, 5.20, 5.20, 5.20, 52.00, 10, 1
20150130, 09:35:02.000, IBM, P, 152.5000, 20150206, 1.70, 1.70, 1.70, 1.70, 22.10, 13, 1
20150130, 09:35:04.000, IBM, P, 152.5000, 20150220, 2.50, 2.50, 2.50, 2.50, 25.00, 10, 1
20150130, 09:35:06.000, IBM, C, 155.0000, 20150220, 2.06, 2.06, 2.06, 2.06, 8.24, 4, 2
20150130, 09:35:06.000, IBM, P, 152.5000, 20150220, 2.50, 2.50, 2.50, 2.50, 50.00, 20, 4
20150130, 09:35:20.000, IBM, C, 157.5000, 20150220, 1.14, 1.14, 1.14, 1.14, 5.70, 5, 1
20150130, 09:35:20.000, IBM, C, 155.0000, 20150220, 2.03, 2.03, 2.03, 2.03, 10.15, 5, 1
20150130, 09:35:26.000, IBM, C, 150.0000, 20150717, 9.69, 9.69, 9.69, 9.69, 96.90, 10, 1
20150130, 09:35:29.000, IBM, C, 155.0000, 20150220, 2.04, 2.04, 2.04, 2.04, 20.40, 10, 1
20150130, 09:35:29.000, IBM, P, 152.5000, 20150220, 2.53, 2.53, 2.53, 2.53, 25.30, 10, 1
20150130, 09:35:30.000, IBM, C, 155.0000, 20150220, 2.04, 2.04, 2.04, 2.04, 20.40, 10, 1
20150130, 09:35:30.000, IBM, P, 152.5000, 20150220, 2.53, 2.53, 2.53, 2.53, 5.06, 2, 1
20150130, 09:35:37.000, IBM, P, 149.0000, 20150130, 0.03, 0.03, 0.03, 0.03, 0.15, 5, 1
20150130, 09:35:37.000, IBM, C, 152.5000, 20150130, 1.85, 1.96, 1.85, 1.96, 64.35, 33, 5
20150130, 09:35:38.000, IBM, P, 150.0000, 20150130, 0.05, 0.05, 0.05, 0.05, 0.05, 1, 1
20150130, 09:35:54.000, IBM, C, 160.0000, 20150130, 0.03, 0.03, 0.03, 0.03, 0.06, 2, 1
20150130, 09:35:54.000, IBM, C, 157.5000, 20150130, 0.08, 0.08, 0.08, 0.08, 0.16, 2, 1
20150130, 09:36:08.000, IBM, C, 155.0000, 20150206, 1.39, 1.39, 1.39, 1.39, 139.00, 100, 3
20150130, 09:36:11.000, IBM, C, 175.0000, 20150717, 1.40, 1.40, 1.40, 1.40, 4.20, 3, 1
20150130, 09:36:11.000, IBM, C, 155.0000, 20150130, 0.37, 0.37, 0.37, 0.37, 0.37, 1, 1
20150130, 09:36:19.000, IBM, C, 150.0000, 20150227, 5.60, 5.60, 5.60, 5.60, 5.60, 1, 1
20150130, 09:36:19.000, IBM, C, 150.0000, 20150213, 5.15, 5.15, 5.15, 5.15, 82.40, 16, 3
20150130, 09:36:19.000, IBM, C, 155.0000, 20150130, 0.38, 0.38, 0.38, 0.38, 38.00, 100, 1
20150130, 09:36:22.000, IBM, C, 155.0000, 20150220, 2.20, 2.20, 2.20, 2.20, 6.60, 3, 1
20150130, 09:36:24.000, IBM, P, 152.5000, 20150220, 2.46, 2.46, 2.46, 2.46, 36.90, 15, 1
20150130, 09:36:26.000, IBM, C, 152.5000, 20150130, 2.00, 2.00, 2.00, 2.00, 2.00, 1, 1
20150130, 09:36:27.000, IBM, P, 149.0000, 20150130, 0.02, 0.02, 0.02, 0.02, 0.10, 5, 1
20150130, 09:36:36.000, IBM, C, 152.5000, 20150130, 2.00, 2.00, 2.00, 2.00, 40.00, 20, 1
20150130, 09:36:48.000, IBM, P, 155.0000, 20150130, 1.18, 1.18, 1.18, 1.18, 5.90, 5, 1
20150130, 09:36:48.000, IBM, C, 155.0000, 20150130, 0.25, 0.26, 0.25, 0.26, 3.26, 13, 2
20150130, 09:37:00.000, IBM, C, 157.5000, 20150213, 0.80, 0.80, 0.80, 0.80, 0.80, 1, 1
20150130, 09:37:00.000, IBM, C, 155.0000, 20150130, 0.25, 0.25, 0.25, 0.25, 1.25, 5, 1
20150130, 09:37:19.000, IBM, C, 155.0000, 20150220, 1.98, 1.98, 1.98, 1.98, 39.60, 20, 2
20150130, 09:37:21.000, IBM, C, 160.0000, 20150320, 1.61, 1.61, 1.61, 1.61, 3.22, 2, 1
20150130, 09:37:21.000, IBM, C, 155.0000, 20150130, 0.25, 0.25, 0.25, 0.25, 20.75, 83, 1
20150130, 09:37:27.000, IBM, C, 157.5000, 20150220, 1.09, 1.09, 1.09, 1.09, 2.18, 2, 1
20150130, 09:37:38.000, IBM, P, 148.0000, 20150220, 1.19, 1.19, 1.18, 1.18, 8.30, 7, 2
20150130, 09:37:38.000, IBM, P, 150.0000, 20150220, 1.68, 1.68, 1.68, 1.68, 67.20, 40, 5
20150130, 09:37:38.000, IBM, C, 155.0000, 20150220, 1.97, 1.97, 1.97, 1.97, 19.70, 10, 1
20150130, 09:37:38.000, IBM, P, 152.5000, 20150220, 2.59, 2.59, 2.59, 2.59, 103.60, 40, 5
20150130, 09:37:51.000, IBM, P, 145.0000, 20150320, 1.69, 1.69, 1.69, 1.69, 8.45, 5, 1
20150130, 09:37:55.000, IBM, P, 145.0000, 20150320, 1.70, 1.70, 1.70, 1.70, 13.60, 8, 3
20150130, 09:37:56.000, IBM, C, 152.5000, 20150220, 3.25, 3.25, 3.25, 3.25, 45.50, 14, 2
20150130, 09:37:56.000, IBM, P, 148.0000, 20150220, 1.18, 1.18, 1.18, 1.18, 12.98, 11, 2
20150130, 09:37:56.000, IBM, C, 155.0000, 20150220, 1.97, 1.97, 1.97, 1.97, 15.76, 8, 2
20150130, 09:37:58.000, IBM, C, 155.0000, 20150320, 3.35, 3.35, 3.35, 3.35, 3.35, 1, 1
20150130, 09:38:01.000, IBM, C, 152.5000, 20150206, 2.57, 2.57, 2.57, 2.57, 2.57, 1, 1
20150130, 09:38:06.000, IBM, C, 160.0000, 20160115, 8.50, 8.50, 8.50, 8.50, 25.50, 3, 1
20150130, 09:38:06.000, IBM, C, 157.5000, 20150130, 0.03, 0.03, 0.03, 0.03, 0.03, 1, 1
20150130, 09:38:06.000, IBM, C, 155.0000, 20150130, 0.24, 0.24, 0.24, 0.24, 0.24, 1, 1
20150130, 09:38:15.000, IBM, C, 157.5000, 20150213, 0.82, 0.82, 0.82, 0.82, 0.82, 1, 1
20150130, 09:38:15.000, IBM, C, 155.0000, 20150220, 1.97, 1.97, 1.97, 1.97, 59.10, 30, 3
20150130, 09:38:26.000, IBM, P, 149.0000, 20150220, 1.44, 1.44, 1.44, 1.44, 7.20, 5, 5
20150130, 09:38:26.000, IBM, P, 148.0000, 20150220, 1.21, 1.21, 1.21, 1.21, 4.84, 4, 4
20150130, 09:38:26.000, IBM, C, 155.0000, 20150130, 0.24, 0.24, 0.24, 0.24, 0.72, 3, 1
20150130, 09:38:26.000, IBM, P, 152.5000, 20150220, 2.64, 2.65, 2.64, 2.65, 15.88, 6, 6
20150130, 09:38:39.000, IBM, C, 155.0000, 20150220, 1.92, 1.92, 1.92, 1.92, 7.68, 4, 4
20150130, 09:38:39.000, IBM, C, 155.0000, 20150206, 1.25, 1.25, 1.25, 1.25, 125.00, 100, 1
20150130, 09:38:39.000, IBM, P, 152.5000, 20150220, 2.66, 2.66, 2.66, 2.66, 21.28, 8, 7
20150130, 09:38:42.000, IBM, C, 155.0000, 20150220, 1.92, 1.93, 1.92, 1.92, 23.14, 12, 3
20150130, 09:38:47.000, IBM, C, 155.0000, 20150206, 1.22, 1.22, 1.22, 1.22, 3.66, 3, 1
20150130, 09:38:51.000, IBM, P, 150.0000, 20150206, 0.85, 0.85, 0.85, 0.85, 22.10, 26, 2
20150130, 09:38:51.000, IBM, P, 152.5000, 20150213, 2.31, 2.32, 2.31, 2.32, 67.07, 29, 8
20150130, 09:38:51.000, IBM, C, 155.0000, 20150130, 0.22, 0.22, 0.22, 0.22, 0.44, 2, 1
20150130, 09:38:56.000, IBM, C, 155.0000, 20150130, 0.21, 0.21, 0.21, 0.21, 6.30, 30, 5
20150130, 09:39:06.000, IBM, C, 155.0000, 20150320, 3.34, 3.34, 3.34, 3.34, 3.34, 1, 1
20150130, 09:39:27.000, IBM, P, 150.0000, 20150130, 0.06, 0.06, 0.06, 0.06, 0.06, 1, 1
20150130, 09:39:27.000, IBM, P, 152.5000, 20150130, 0.16, 0.16, 0.16, 0.16, 0.16, 1, 1
20150130, 09:39:28.000, IBM, C, 155.0000, 20150220, 1.96, 1.96, 1.96, 1.96, 9.80, 5, 1
20150130, 09:39:28.000, IBM, C, 160.0000, 20150320, 1.62, 1.62, 1.62, 1.62, 8.10, 5, 1
20150130, 09:39:36.000, IBM, P, 149.0000, 20150130, 0.03, 0.03, 0.03, 0.03, 0.18, 6, 1
20150130, 09:39:42.000, IBM, C, 157.5000, 20150220, 1.11, 1.11, 1.11, 1.11, 3.33, 3, 1
20150130, 09:39:48.000, IBM, C, 155.0000, 20150130, 0.22, 0.22, 0.22, 0.22, 1.10, 5, 1
20150130, 09:40:13.000, IBM, P, 152.5000, 20150130, 0.14, 0.14, 0.14, 0.14, 2.10, 15, 1
20150130, 09:40:13.000, IBM, C, 155.0000, 20150130, 0.23, 0.23, 0.23, 0.23, 0.23, 1, 1
20150130, 09:40:18.000, IBM, C, 155.0000, 20150206, 1.25, 1.25, 1.25, 1.25, 18.75, 15, 1
20150130, 09:40:23.000, IBM, P, 155.0000, 20150220, 3.85, 3.85, 3.85, 3.85, 19.25, 5, 1
20150130, 09:40:33.000, IBM, C, 152.5000, 20150213, 3.04, 3.04, 3.04, 3.04, 3.04, 1, 1
20150130, 09:40:46.000, IBM, P, 150.0000, 20150220, 1.61, 1.61, 1.61, 1.61, 3.22, 2, 2
20150130, 09:40:46.000, IBM, C, 155.0000, 20150206, 1.30, 1.30, 1.30, 1.30, 130.00, 100, 1
20150130, 09:40:48.000, IBM, P, 146.0000, 20150220, 0.78, 0.78, 0.78, 0.78, 15.60, 20, 1
20150130, 09:40:48.000, IBM, P, 148.0000, 20150220, 1.11, 1.11, 1.11, 1.11, 22.20, 20, 1
20150130, 09:40:49.000, IBM, C, 150.0000, 20150220, 5.20, 5.20, 5.20, 5.20, 5.20, 1, 1
20150130, 09:40:49.000, IBM, P, 144.0000, 20150220, 0.50, 0.50, 0.50, 0.50, 5.00, 10, 1
20150130, 09:40:49.000, IBM, P, 149.0000, 20150220, 1.30, 1.30, 1.30, 1.30, 13.00, 10, 1
20150130, 09:40:58.000, IBM, C, 150.0000, 20150320, 6.43, 6.43, 6.43, 6.43, 6.43, 1, 1
20150130, 09:40:59.000, IBM, P, 140.0000, 20150320, 0.95, 0.95, 0.95, 0.95, 0.95, 1, 1
20150130, 09:40:59.000, IBM, C, 155.0000, 20150320, 3.55, 3.55, 3.55, 3.55, 21.30, 6, 2
20150130, 09:40:59.000, IBM, C, 152.5000, 20150220, 3.55, 3.55, 3.55, 3.55, 127.80, 36, 5
20150130, 09:40:59.000, IBM, C, 155.0000, 20150220, 2.17, 2.17, 2.17, 2.17, 6.51, 3, 1
20150130, 09:40:59.000, IBM, P, 145.0000, 20150320, 1.61, 1.61, 1.61, 1.61, 1.61, 1, 1
20150130, 09:40:59.000, IBM, C, 155.0000, 20150130, 0.32, 0.32, 0.32, 0.32, 3.84, 12, 2
20150130, 09:41:07.000, IBM, P, 145.0000, 20150320, 1.64, 1.64, 1.64, 1.64, 6.56, 4, 1
20150130, 09:41:14.000, IBM, P, 150.0000, 20150220, 1.53, 1.53, 1.53, 1.53, 3.06, 2, 2
20150130, 09:41:19.000, IBM, P, 140.0000, 20150717, 3.70, 3.70, 3.70, 3.70, 37.00, 10, 1
20150130, 09:41:24.000, IBM, P, 152.5000, 20150130, 0.10, 0.10, 0.10, 0.10, 2.10, 21, 1
20150130, 09:41:25.000, IBM, P, 152.5000, 20150130, 0.10, 0.10, 0.10, 0.10, 2.90, 29, 1
20150130, 09:41:25.000, IBM, C, 155.0000, 20150220, 2.20, 2.20, 2.20, 2.20, 6.60, 3, 1
20150130, 09:41:38.000, IBM, P, 148.0000, 20150220, 1.04, 1.04, 1.04, 1.04, 1.04, 1, 1
